track_id,track_popularity
02MBhqgR7WeeI4ZfB6Lo0i,0
5j4M4gLYuUy9PVw0vsXWyq,0
46EucLPJpx0QM3SCjzzdP0,0
4nK2LvW3osgDT89S38Mcg6,0
1Pq37WIQZDG7yNFnY5IbqG,0
2BlVCk4aedlkMynOLdpCcI,0
3Nt8fA4rKmuThkHxFir2qZ,0
5ZHikLIzGAqbTphErWuREz,0
2LcBaiAK9KqVzj5TdfFkTt,0
5McTq9Mwsk1Tpu31yDNOBE,0
3g1CrdpRNtMPRLoleCvFSo,0
6xThGKJB0m7ulzi4toI18x,0
7zznHKZjl1OuMMb2pPMgUp,0
5i6P9NULtzkZIfwOk0RJLY,0
5117g3rjt37uAs1xvATLJD,0
5kFTiU6MmyJpFcek1xdUPV,0
4BRwdTJKnBsTzxVxNgtJQe,0
78WOZjqwC0RyftIcGVYH7T,0
4m1597QAg0Kwtq3ESdov72,0
6deS2lsipxcdGbsS8Vr5Wp,0
0FVs1983vi0fpRIiSIiLRL,0
2ZLnSVpbgctG2okHeX57TS,0
4SqioQiWBY6cYuJ72XcpVn,0
0CSexlCEoSDtjejy1wiMcW,0
3Mr4AcClzUMwXTAVBfsjgt,0
5eeeuoLLZ0N35M8BEPJZ3k,0
4IDt9WeGyngVMGngtVYmQA,0
2k21Y6SQClhB1RGjsj1fAX,0
5VdIabELAtsXRBoB0GeHP7,0
6ERFZvMcNniKKxKMqXZpLE,0
660sXdskUSV94F9qFzD93F,0
27SAi1XrVDxaUz6cXGOmS1,0
2gdyBzuwHmOR3IkDk3hUZL,0
4yV3lyQ2UwiZxrSorfz5J6,0
5n436bYjwwA9JL7uFilcim,0
66QsJ2G3ViEaLSr3MpMTns,0
7bbXIdIWPHUPBKXvR2rj1F,0
6GsiJ3lbtUaXH8gO58g1Lg,0
4SI0tvZE9Vvvlb8jbo2pY0,0
6dmx3KdUh1kgnVTKAuNjJG,0
3DkWfqJ1cDsJPUw9zL2GzP,0
1qUSLN32GCU0pojecwPHVy,0
